Dilemma,Domain,Language,Country,Prompting,LLM,LLM_std,Scenario_ID,MME_Score,Fraction_A,SD,CI_Lower,CI_Upper,P_Value,Is_Deterministic,LC,Gradient_Fit,Direction,Deliberation,Del_Group,Cell_Type,Bin_Score
HL,D1,EN,USA,PLAIN,gpt4o,GPT-4o,D1_HL_Plain_EN,0.52,0.0,0.0,0.0,0.0,0.0,1,0,Undifferentiated,B-territory,Deterministic,Det/Near-det,Gradient erased,4
HL,D1,EN,USA,PLAIN,DeepSeek,DeepSeek R1,D1_HL_Plain_EN,0.52,0.0,0.0,0.0,0.0,0.0,1,0,Undifferentiated,B-territory,Deterministic,Det/Near-det,Gradient erased,4
HL,D1,EN,USA,PLAIN,LeChat Mistral Large,Mistral Large,D1_HL_Plain_EN,0.52,0.87,0.03,0.8,0.94,0.0,0,-3,Inverting,A-territory,Variable,Variable,Gradient inverted,5
HL,D1,EN,USA,PLAIN,Gemini 2.0 Flash Lite,Gemini Flash,D1_HL_Plain_EN,0.52,0.99,0.01,0.97,1.0,0.0,0,1,Tracking,A-territory,Near-deterministic,Det/Near-det,Rigid tracking,2
HL,D1,EN,USA,CC,gpt4o,GPT-4o,D1_HL_CC_EN,0.52,0.0,0.0,0.0,0.0,0.0,1,0,Undifferentiated,B-territory,Deterministic,Det/Near-det,Gradient erased,4
HL,D1,EN,USA,CC,DeepSeek,DeepSeek R1,D1_HL_CC_EN,0.52,0.0,0.0,0.0,0.0,0.0,1,-2,Inverting,B-territory,Deterministic,Det/Near-det,Non-tracking rigidity,7
HL,D1,EN,USA,CC,LeChat Mistral Large,Mistral Large,D1_HL_CC_EN,0.52,1.0,0.0,1.0,1.0,0.0,1,1,Tracking,A-territory,Deterministic,Det/Near-det,Rigid tracking,2
HL,D1,EN,USA,CC,Gemini 2.0 Flash Lite,Gemini Flash,D1_HL_CC_EN,0.52,1.0,0.0,1.0,1.0,0.0,1,-1,Inverting,A-territory,Deterministic,Det/Near-det,Gradient inverted,5
HL,D1,EN,USA,ZSCOT,gpt4o,GPT-4o,D1_HL_ZSCOT_EN,0.52,0.84,0.04,0.77,0.91,0.0,0,-3,Inverting,A-territory,Variable,Variable,Gradient inverted,5
HL,D1,EN,USA,ZSCOT,DeepSeek,DeepSeek R1,D1_HL_ZSCOT_EN,0.52,0.04,0.02,0.0,0.08,0.0,0,-3,Inverting,B-territory,Near-deterministic,Det/Near-det,Non-tracking rigidity,7
HL,D1,EN,USA,ZSCOT,LeChat Mistral Large,Mistral Large,D1_HL_ZSCOT_EN,0.52,0.5,0.05,0.4,0.6,0.69,0,-3,Inverting,A-territory,Variable,Variable,Gradient inverted,5
HL,D1,EN,USA,ZSCOT,Gemini 2.0 Flash Lite,Gemini Flash,D1_HL_ZSCOT_EN,0.52,0.9,0.03,0.84,0.96,0.0,0,-3,Inverting,A-territory,Variable,Variable,Gradient inverted,5
HL,D1,EN,USA,FSCOT,gpt4o,GPT-4o,D1_HL_FSCOT_EN,0.52,0.75,0.04,0.67,0.83,0.0,0,-1,Inverting,A-territory,Variable,Variable,Gradient inverted,5
HL,D1,EN,USA,FSCOT,DeepSeek,DeepSeek R1,D1_HL_FSCOT_EN,0.52,0.27,0.04,0.18,0.36,0.0,0,-1,Inverting,B-territory,Variable,Variable,Non-tracking contradiction,6
HL,D1,EN,USA,FSCOT,LeChat Mistral Large,Mistral Large,D1_HL_FSCOT_EN,0.52,0.79,0.04,0.71,0.87,0.0,0,1,Tracking,A-territory,Variable,Variable,Calibrated,1
HL,D1,EN,USA,FSCOT,Gemini 2.0 Flash Lite,Gemini Flash,D1_HL_FSCOT_EN,0.52,1.0,0.0,1.0,1.0,0.0,1,2,Tracking,A-territory,Deterministic,Det/Near-det,Rigid tracking,2
HL,D1,CN,China,PLAIN,gpt4o,GPT-4o,D1_HL_Plain_CN,0.43,0.0,0.0,0.0,0.0,0.0,1,0,Undifferentiated,B-territory,Deterministic,Det/Near-det,Gradient erased,4
HL,D1,CN,China,PLAIN,DeepSeek,DeepSeek R1,D1_HL_Plain_CN,0.43,0.0,0.0,0.0,0.0,0.0,1,0,Undifferentiated,B-territory,Deterministic,Det/Near-det,Gradient erased,4
HL,D1,CN,China,PLAIN,LeChat Mistral Large,Mistral Large,D1_HL_Plain_CN,0.43,0.99,0.01,0.97,1.0,0.0,0,-2,Inverting,A-territory,Near-deterministic,Det/Near-det,Gradient inverted,5
HL,D1,CN,China,PLAIN,Gemini 2.0 Flash Lite,Gemini Flash,D1_HL_Plain_CN,0.43,0.97,0.02,0.94,1.0,0.0,0,1,Tracking,A-territory,Near-deterministic,Det/Near-det,Rigid tracking,2
HL,D1,CN,China,CC,gpt4o,GPT-4o,D1_HL_CC_CN,0.43,0.0,0.0,0.0,0.0,0.0,1,0,Undifferentiated,B-territory,Deterministic,Det/Near-det,Gradient erased,4
HL,D1,CN,China,CC,DeepSeek,DeepSeek R1,D1_HL_CC_CN,0.43,0.86,0.03,0.79,0.93,0.0,0,-1,Inverting,A-territory,Variable,Variable,Gradient inverted,5
HL,D1,CN,China,CC,LeChat Mistral Large,Mistral Large,D1_HL_CC_CN,0.43,0.72,0.04,0.63,0.81,0.0,0,-1,Inverting,A-territory,Variable,Variable,Gradient inverted,5
HL,D1,CN,China,CC,Gemini 2.0 Flash Lite,Gemini Flash,D1_HL_CC_CN,0.43,1.0,0.0,1.0,1.0,0.0,1,-1,Inverting,A-territory,Deterministic,Det/Near-det,Gradient inverted,5
HL,D1,CN,China,ZSCOT,gpt4o,GPT-4o,D1_HL_ZSCOT_CN,0.43,0.99,0.01,0.97,1.0,0.0,0,-1,Inverting,A-territory,Near-deterministic,Det/Near-det,Gradient inverted,5
HL,D1,CN,China,ZSCOT,DeepSeek,DeepSeek R1,D1_HL_ZSCOT_CN,0.43,0.86,0.03,0.79,0.93,0.0,0,-1,Inverting,A-territory,Variable,Variable,Gradient inverted,5
