LLM,Dilemma,Domain,Prompting,Tau_original,Tau_adjusted,Tau_change,Tau_changed,FA_original,FA_adjusted
DeepSeek R1,HL,D1,CC,-0.5,-0.1667,0.3333,True,CN=0.86|EN=0.0|ES=0.0|JP=0.02,CN=0.81|EN=0.0|ES=0.0|JP=0.0
DeepSeek R1,HL,D1,FSCOT,0.0,0.0,0.0,False,CN=1.0|EN=0.27|ES=0.08|JP=0.05,CN=0.95|EN=0.22|ES=0.03|JP=0.0
DeepSeek R1,HL,D1,PLAIN,0.0,0.0,0.0,False,CN=0.0|EN=0.0|ES=0.0|JP=0.0,CN=0.0|EN=0.0|ES=0.0|JP=0.0
DeepSeek R1,HL,D1,ZSCOT,-0.6667,-0.5,0.1667,True,CN=0.86|EN=0.04|ES=0.01|JP=0.72,CN=0.81|EN=0.0|ES=0.0|JP=0.67
DeepSeek R1,HL,D2,CC,-0.1667,-0.1667,0.0,False,CN=1.0|EN=0.0|ES=0.0|JP=0.0,CN=0.95|EN=0.0|ES=0.0|JP=0.0
DeepSeek R1,HL,D2,FSCOT,0.1667,0.1667,0.0,False,CN=0.75|EN=0.0|ES=0.5|JP=0.0,CN=0.7|EN=0.0|ES=0.45|JP=0.0
DeepSeek R1,HL,D2,PLAIN,-0.1667,-0.1667,0.0,False,CN=1.0|EN=0.0|ES=0.0|JP=0.0,CN=0.95|EN=0.0|ES=0.0|JP=0.0
DeepSeek R1,HL,D2,ZSCOT,-0.8333,-0.8333,0.0,False,CN=0.11|EN=0.0|ES=0.0|JP=0.13,CN=0.06|EN=0.0|ES=0.0|JP=0.08
DeepSeek R1,HL,D3,CC,-0.5,-0.5,0.0,False,CN=0.68|EN=0.0|ES=0.0|JP=0.51,CN=0.63|EN=0.0|ES=0.0|JP=0.46
DeepSeek R1,HL,D3,FSCOT,0.3333,0.3333,0.0,False,CN=0.88|EN=0.0|ES=0.98|JP=0.23,CN=0.83|EN=0.0|ES=0.93|JP=0.18
DeepSeek R1,HL,D3,PLAIN,-0.6667,0.0,0.6667,True,CN=0.03|EN=0.0|ES=0.0|JP=0.03,CN=0.0|EN=0.0|ES=0.0|JP=0.0
DeepSeek R1,HL,D3,ZSCOT,-0.3333,-0.3333,0.0,False,CN=0.94|EN=0.04|ES=0.23|JP=0.9,CN=0.89|EN=0.0|ES=0.18|JP=0.85
DeepSeek R1,MF,D1,CC,0.5,0.5,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=0.49,CN=0.95|EN=0.95|ES=0.95|JP=0.44
DeepSeek R1,MF,D1,FSCOT,0.5,0.5,0.0,False,CN=1.0|EN=1.0|ES=0.69|JP=0.0,CN=0.95|EN=0.95|ES=0.64|JP=0.0
DeepSeek R1,MF,D1,PLAIN,0.8333,0.8333,0.0,False,CN=0.98|EN=1.0|ES=0.99|JP=0.98,CN=0.93|EN=0.95|ES=0.94|JP=0.93
DeepSeek R1,MF,D1,ZSCOT,-0.1667,-0.1667,0.0,False,CN=0.96|EN=0.98|ES=0.88|JP=0.98,CN=0.91|EN=0.93|ES=0.83|JP=0.93
DeepSeek R1,MF,D2,CC,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.95|EN=0.95|ES=0.95|JP=0.95
DeepSeek R1,MF,D2,FSCOT,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.95|EN=0.95|ES=0.95|JP=0.95
DeepSeek R1,MF,D2,PLAIN,-0.1667,-0.1667,0.0,False,CN=1.0|EN=1.0|ES=0.99|JP=1.0,CN=0.95|EN=0.95|ES=0.94|JP=0.95
DeepSeek R1,MF,D2,ZSCOT,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.95|EN=0.95|ES=0.95|JP=0.95
DeepSeek R1,MF,D3,CC,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.95|EN=0.95|ES=0.95|JP=0.95
DeepSeek R1,MF,D3,FSCOT,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.95|EN=0.95|ES=0.95|JP=0.95
DeepSeek R1,MF,D3,PLAIN,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.95|EN=0.95|ES=0.95|JP=0.95
DeepSeek R1,MF,D3,ZSCOT,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.95|EN=0.95|ES=0.95|JP=0.95
DeepSeek R1,YO,D1,CC,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.95|EN=0.95|ES=0.95|JP=0.95
DeepSeek R1,YO,D1,FSCOT,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.95|EN=0.95|ES=0.95|JP=0.95
DeepSeek R1,YO,D1,PLAIN,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.95|EN=0.95|ES=0.95|JP=0.95
DeepSeek R1,YO,D1,ZSCOT,-0.1667,-0.1667,0.0,False,CN=1.0|EN=0.95|ES=1.0|JP=1.0,CN=0.95|EN=0.9|ES=0.95|JP=0.95
DeepSeek R1,YO,D2,CC,-0.6667,-0.6667,0.0,False,CN=1.0|EN=0.2|ES=0.56|JP=0.98,CN=0.95|EN=0.15|ES=0.51|JP=0.93
DeepSeek R1,YO,D2,FSCOT,0.8333,0.8333,0.0,False,CN=0.0|EN=0.96|ES=0.96|JP=0.34,CN=0.0|EN=0.91|ES=0.91|JP=0.29
DeepSeek R1,YO,D2,PLAIN,-0.6667,-0.6667,0.0,False,CN=1.0|EN=0.3|ES=0.55|JP=0.83,CN=0.95|EN=0.25|ES=0.5|JP=0.78
DeepSeek R1,YO,D2,ZSCOT,0.5,0.5,0.0,False,CN=0.95|EN=1.0|ES=1.0|JP=0.85,CN=0.9|EN=0.95|ES=0.95|JP=0.8
DeepSeek R1,YO,D3,CC,0.1667,0.1667,0.0,False,CN=0.0|EN=0.8|ES=0.0|JP=0.57,CN=0.0|EN=0.75|ES=0.0|JP=0.52
DeepSeek R1,YO,D3,FSCOT,0.3333,0.3333,0.0,False,CN=0.0|EN=1.0|ES=0.35|JP=0.96,CN=0.0|EN=0.95|ES=0.3|JP=0.91
DeepSeek R1,YO,D3,PLAIN,-0.6667,-0.6667,0.0,False,CN=0.75|EN=0.43|ES=0.0|JP=0.83,CN=0.7|EN=0.38|ES=0.0|JP=0.78
DeepSeek R1,YO,D3,ZSCOT,0.3333,0.3333,0.0,False,CN=0.55|EN=0.15|ES=0.78|JP=0.71,CN=0.5|EN=0.1|ES=0.73|JP=0.66
Gemini Flash,HL,D1,CC,-0.5,-0.5,0.0,False,CN=1.0|EN=1.0|ES=0.89|JP=1.0,CN=0.95|EN=0.95|ES=0.84|JP=0.95
Gemini Flash,HL,D1,FSCOT,0.8333,0.8333,0.0,False,CN=0.65|EN=1.0|ES=1.0|JP=0.0,CN=0.6|EN=0.95|ES=0.95|JP=0.0
Gemini Flash,HL,D1,PLAIN,0.1667,0.1667,0.0,False,CN=0.97|EN=0.99|ES=1.0|JP=1.0,CN=0.92|EN=0.94|ES=0.95|JP=0.95
