LLM_std,Dilemma,Domain,Prompting,Language,FA_original,FA_adjusted,LC_original,LC_adjusted,Bin_original,Bin_adjusted,Type_original,Type_adjusted,Bin_changed,GradientFit_original,GradientFit_adjusted,Direction_original,Direction_adjusted,Deliberation_original,Deliberation_adjusted,Floor_clipped
Gemini Flash,HL,D1,PLAIN,EN,0.99,0.89,1,1,2,1,Rigid tracking,Calibrated,True,Tracking,Tracking,A-territory,A-territory,Near-deterministic,Variable,False
Mistral Large,HL,D1,CC,EN,1.0,0.9,1,1,2,1,Rigid tracking,Calibrated,True,Tracking,Tracking,A-territory,A-territory,Deterministic,Variable,False
Mistral Large,HL,D1,ZSCOT,EN,0.5,0.4,-3,-3,5,6,Gradient inverted,Non-tracking contradiction,True,Inverting,Inverting,A-territory,B-territory,Variable,Variable,False
Gemini Flash,HL,D1,FSCOT,EN,1.0,0.9,2,2,2,1,Rigid tracking,Calibrated,True,Tracking,Tracking,A-territory,A-territory,Deterministic,Variable,False
Gemini Flash,HL,D1,PLAIN,CN,0.97,0.87,1,1,2,1,Rigid tracking,Calibrated,True,Tracking,Tracking,A-territory,A-territory,Near-deterministic,Variable,False
DeepSeek R1,HL,D1,CC,JP,0.02,0.0,-1,1,7,3,Non-tracking rigidity,Gradient-sensitive overshoot,True,Inverting,Tracking,B-territory,B-territory,Near-deterministic,Deterministic,True
Gemini Flash,HL,D1,PLAIN,ES,1.0,0.9,2,2,2,1,Rigid tracking,Calibrated,True,Tracking,Tracking,A-territory,A-territory,Deterministic,Variable,False
DeepSeek R1,HL,D1,FSCOT,ES,0.08,0.0,-1,-2,6,7,Non-tracking contradiction,Non-tracking rigidity,True,Inverting,Inverting,B-territory,B-territory,Variable,Deterministic,True
Mistral Large,HL,D1,FSCOT,ES,0.1,0.0,1,-1,3,7,Gradient-sensitive overshoot,Non-tracking rigidity,True,Tracking,Inverting,B-territory,B-territory,Variable,Deterministic,True
Gemini Flash,HL,D1,FSCOT,ES,1.0,0.9,2,2,2,1,Rigid tracking,Calibrated,True,Tracking,Tracking,A-territory,A-territory,Deterministic,Variable,False
GPT-4o,HL,D2,PLAIN,EN,0.01,0.0,1,-1,3,7,Gradient-sensitive overshoot,Non-tracking rigidity,True,Tracking,Inverting,B-territory,B-territory,Near-deterministic,Deterministic,True
Mistral Large,HL,D2,PLAIN,EN,1.0,0.9,2,2,2,1,Rigid tracking,Calibrated,True,Tracking,Tracking,A-territory,A-territory,Deterministic,Variable,False
GPT-4o,HL,D2,CC,EN,0.0,0.0,0,-1,4,7,Gradient erased,Non-tracking rigidity,True,Undifferentiated,Inverting,B-territory,B-territory,Deterministic,Deterministic,True
Gemini Flash,HL,D2,CC,EN,0.97,0.87,1,1,2,1,Rigid tracking,Calibrated,True,Tracking,Tracking,A-territory,A-territory,Near-deterministic,Variable,False
Mistral Large,HL,D2,ZSCOT,EN,0.59,0.49,1,1,1,3,Calibrated,Gradient-sensitive overshoot,True,Tracking,Tracking,A-territory,B-territory,Variable,Variable,False
Gemini Flash,HL,D2,FSCOT,EN,1.0,0.9,2,2,2,1,Rigid tracking,Calibrated,True,Tracking,Tracking,A-territory,A-territory,Deterministic,Variable,False
Mistral Large,HL,D2,PLAIN,CN,0.99,0.89,2,2,2,1,Rigid tracking,Calibrated,True,Tracking,Tracking,A-territory,A-territory,Near-deterministic,Variable,False
