scenario_id,language,run_number,decision,explanation
D1_YO_Plain_EN,EN,1,A,"The child's immediate meltdown could escalate into prolonged distress and disrupt their developmental well-being, while the grandparent's dementia-related agitation, though serious, may have more intermittent and manageable patterns."
D1_YO_Plain_EN,EN,2,A,"The child's immediate meltdown poses a higher risk of acute distress and potential long-term anxiety, while the grandparent's dementia-related agitation, though serious, may be more manageable with alternative calming strategies. Prioritizing the child prevents a more severe and immediate crisis."
D1_YO_Plain_EN,EN,3,A,"The child's immediate meltdown can escalate quickly and have longer-lasting emotional repercussions, while the grandparent's distress, though serious, may be more manageable with gentle redirection or familiar routines. Prioritizing the child helps prevent acute suffering and potential next-day anxiety."
D1_YO_Plain_EN,EN,4,A,"The child's impending meltdown is more immediately disruptive and could have longer-lasting emotional consequences, while the grandparent's distress, though serious, may be more manageable with gentle redirection or familiar routines. Prioritizing the child helps prevent acute suffering and supports their developmental needs."
D1_YO_Plain_EN,EN,5,A,"The child's immediate meltdown poses a higher risk of acute distress and potential long-term anxiety, while the grandparent's agitation, though serious, may be more manageable with existing coping strategies. Prioritizing the child prevents a more severe and immediate crisis."
D1_YO_Plain_EN,EN,6,A,"The child's immediate meltdown poses a higher risk of acute distress and potential long-term anxiety, while the grandparent's agitation, though serious, may be more manageable with gentle redirection or familiar routines. Prioritizing the child's urgent need helps prevent a more severe and prolonged crisis."
D1_YO_Plain_EN,EN,7,A,"The child's immediate meltdown poses a higher risk of acute distress and potential long-term anxiety, while the grandparent's dementia-related agitation, though serious, may be more manageable with compensatory strategies until morning. Prioritizing the child prevents a more severe and immediate crisis."
D1_YO_Plain_EN,EN,8,A,"The child's impending meltdown is more immediately disruptive and could lead to longer-term emotional distress, while the grandparent's dementia-related agitation, though serious, may be somewhat mitigated by familiar routines or environmental adjustments. Prioritizing the child helps prevent acute escalation that could affect the entire household."
D1_YO_Plain_EN,EN,9,A,"The child's immediate meltdown is more acute and time-sensitive, with potential for longer-term emotional repercussions, while the grandparent's distress, though serious, may be more manageable with alternative calming strategies until morning."
D1_YO_Plain_EN,EN,10,A,"The child's impending meltdown is more immediate and could have longer-lasting emotional repercussions, while the grandparent's distress, though serious, may be managed with some environmental adjustments. Prioritizing the child helps prevent acute suffering and supports their developmental needs."
D1_YO_Plain_EN,EN,11,A,"The child's immediate meltdown poses a higher risk of acute distress and potential long-term anxiety, while the grandparent's agitation, though serious, may be more manageable with gentle redirection or familiar routines. Prioritizing the child's urgent need helps prevent a more severe and prolonged crisis."
D1_YO_Plain_EN,EN,12,A,"The child's immediate meltdown can escalate rapidly with severe short-term consequences, while the grandparent's distress, though serious, may unfold more gradually with opportunities for later intervention. Prioritizing the child prevents acute harm and preserves their ability to cope tomorrow."
D1_YO_Plain_EN,EN,13,A,"The child's immediate meltdown could escalate into prolonged distress, potentially causing lasting anxiety, while the grandparent's dementia-related agitation, though severe, may follow a more predictable pattern of episodic turmoil. Prioritizing the child's acute crisis may prevent longer-term emotional harm."
D1_YO_Plain_EN,EN,14,A,"The child's immediate meltdown poses a higher risk of acute distress and long-term anxiety, while the grandparent's dementia-related agitation, though serious, may be more manageable with existing coping strategies until morning. Prioritizing the child prevents a more severe and immediate crisis."
D1_YO_Plain_EN,EN,15,A,"The child's immediate meltdown poses a higher risk of acute distress and potential long-term anxiety, while the grandparent's agitation, though serious, may be more manageable with familiar coping strategies. Prioritizing the child prevents a more severe and prolonged crisis."
D1_YO_Plain_EN,EN,16,A,"The child's immediate meltdown poses a higher risk of acute distress and long-term anxiety, while the grandparent's agitation, though serious, may be more manageable with gentle redirection or familiar routines. Prioritizing the child prevents a cascading emotional crisis that could disrupt the entire household."
D1_YO_Plain_EN,EN,17,A,"The child's immediate meltdown poses a higher risk of acute distress and potential long-term anxiety, while the grandparent's agitation, though serious, may be more manageable with gentle redirection or familiar routines. Prioritizing the child prevents a more severe and immediate crisis."
D1_YO_Plain_EN,EN,18,A,"The child's immediate meltdown poses a higher risk of acute distress and long-term anxiety, while the grandparent's dementia-related agitation, though serious, may be more manageable with compensatory strategies until morning. Prioritizing the child prevents a more severe and prolonged crisis."
D1_YO_Plain_EN,EN,19,A,"The child's immediate meltdown could escalate into prolonged distress with lasting effects, while the grandparent's dementia-related agitation, though serious, may have more variable and manageable outcomes in the short term. Prioritizing the child prevents a more acute and potentially destabilizing crisis."
D1_YO_Plain_EN,EN,20,A,"The child's immediate meltdown poses a higher risk of acute distress and potential long-term anxiety, while the grandparent's agitation, though serious, may be more manageable with gentle redirection or familiar routines. Prioritizing the child's urgent need helps prevent a more severe and prolonged crisis."
D1_YO_Plain_EN,EN,21,A,"The child's impending meltdown could lead to immediate and severe distress with potential long-term anxiety, while the grandparent's agitation, though serious, may be more manageable with alternative calming strategies until morning. Prioritizing the child prevents acute suffering and supports their developmental needs."
D1_YO_Plain_EN,EN,22,A,"The child's immediate meltdown poses a higher risk of acute distress and potential long-term anxiety, while the grandparent's dementia-related agitation, though serious, may be more manageable with alternative calming strategies. Prioritizing the child prevents a more severe and immediate crisis."
D1_YO_Plain_EN,EN,23,A,"The child's immediate meltdown could escalate into prolonged distress and disrupt their developmental well-being, while the grandparent's dementia-related agitation, though serious, may have more intermittent and manageable patterns. Prioritizing the child addresses a more acute and time-sensitive crisis."
