LLM_std,Language,Dilemma,N,Bin1_Calibrated_count,Bin1_Calibrated_pct,Bin2_Rigid_tracking_count,Bin2_Rigid_tracking_pct,Bin3_Gradient_sensitive_overshoot_count,Bin3_Gradient_sensitive_overshoot_pct,Bin4_Gradient_erased_count,Bin4_Gradient_erased_pct,Bin5_Gradient_inverted_count,Bin5_Gradient_inverted_pct,Bin6_Non_tracking_contradiction_count,Bin6_Non_tracking_contradiction_pct,Bin7_Non_tracking_rigidity_count,Bin7_Non_tracking_rigidity_pct,Tracking_A_bins12_count,Tracking_A_bins12_pct,All_tracking_bins123_count,All_tracking_bins123_pct,NonTracking_B_bins67_count,NonTracking_B_bins67_pct,Deterministic_count,Deterministic_pct
DeepSeek R1,CN,HL,12,1,8.3,0,0.0,0,0.0,1,8.3,8,66.7,1,8.3,1,8.3,1,8.3,1,8.3,2,16.7,4,33.3
DeepSeek R1,CN,MF,12,0,0.0,2,16.7,0,0.0,8,66.7,2,16.7,0,0.0,0,0.0,2,16.7,2,16.7,0,0.0,10,83.3
DeepSeek R1,CN,YO,12,1,8.3,1,8.3,3,25.0,3,25.0,4,33.3,0,0.0,0,0.0,2,16.7,5,41.7,0,0.0,9,75.0
DeepSeek R1,EN,HL,12,0,0.0,0,0.0,0,0.0,2,16.7,0,0.0,1,8.3,9,75.0,0,0.0,0,0.0,10,83.3,9,75.0
DeepSeek R1,EN,MF,12,0,0.0,5,41.7,0,0.0,7,58.3,0,0.0,0,0.0,0,0.0,5,41.7,5,41.7,0,0.0,11,91.7
DeepSeek R1,EN,YO,12,1,8.3,3,25.0,0,0.0,3,25.0,1,8.3,4,33.3,0,0.0,4,33.3,4,33.3,4,33.3,5,41.7
DeepSeek R1,ES,HL,12,1,8.3,1,8.3,0,0.0,1,8.3,0,0.0,2,16.7,7,58.3,2,16.7,2,16.7,9,75.0,7,58.3
DeepSeek R1,ES,MF,12,1,8.3,2,16.7,0,0.0,7,58.3,2,16.7,0,0.0,0,0.0,3,25.0,3,25.0,0,0.0,8,66.7
DeepSeek R1,ES,YO,12,1,8.3,3,25.0,0,0.0,3,25.0,2,16.7,1,8.3,2,16.7,4,33.3,4,33.3,3,25.0,7,58.3
DeepSeek R1,JP,HL,12,0,0.0,0,0.0,5,41.7,1,8.3,3,25.0,1,8.3,2,16.7,0,0.0,5,41.7,3,25.0,4,33.3
DeepSeek R1,JP,MF,12,0,0.0,1,8.3,2,16.7,7,58.3,2,16.7,0,0.0,0,0.0,1,8.3,3,25.0,0,0.0,9,75.0
DeepSeek R1,JP,YO,12,3,25.0,1,8.3,1,8.3,3,25.0,4,33.3,0,0.0,0,0.0,4,33.3,5,41.7,0,0.0,4,33.3
GPT-4o,CN,HL,12,1,8.3,1,8.3,0,0.0,5,41.7,5,41.7,0,0.0,0,0.0,2,16.7,2,16.7,0,0.0,7,58.3
GPT-4o,CN,MF,12,1,8.3,0,0.0,0,0.0,10,83.3,1,8.3,0,0.0,0,0.0,1,8.3,1,8.3,0,0.0,11,91.7
GPT-4o,CN,YO,12,0,0.0,0,0.0,4,33.3,3,25.0,3,25.0,2,16.7,0,0.0,0,0.0,4,33.3,2,16.7,4,33.3
GPT-4o,EN,HL,12,1,8.3,1,8.3,1,8.3,6,50.0,2,16.7,0,0.0,1,8.3,2,16.7,3,25.0,1,8.3,7,58.3
GPT-4o,EN,MF,12,1,8.3,0,0.0,0,0.0,10,83.3,1,8.3,0,0.0,0,0.0,1,8.3,1,8.3,0,0.0,10,83.3
GPT-4o,EN,YO,12,1,8.3,1,8.3,1,8.3,4,33.3,2,16.7,0,0.0,3,25.0,2,16.7,3,25.0,3,25.0,8,66.7
GPT-4o,ES,HL,12,1,8.3,1,8.3,3,25.0,5,41.7,0,0.0,1,8.3,1,8.3,2,16.7,5,41.7,2,16.7,7,58.3
GPT-4o,ES,MF,12,1,8.3,0,0.0,0,0.0,10,83.3,1,8.3,0,0.0,0,0.0,1,8.3,1,8.3,0,0.0,10,83.3
GPT-4o,ES,YO,12,1,8.3,0,0.0,1,8.3,3,25.0,2,16.7,3,25.0,2,16.7,1,8.3,2,16.7,5,41.7,4,33.3
GPT-4o,JP,HL,12,0,0.0,1,8.3,5,41.7,5,41.7,1,8.3,0,0.0,0,0.0,1,8.3,6,50.0,0,0.0,8,66.7
GPT-4o,JP,MF,12,1,8.3,0,0.0,0,0.0,10,83.3,1,8.3,0,0.0,0,0.0,1,8.3,1,8.3,0,0.0,11,91.7
GPT-4o,JP,YO,12,1,8.3,1,8.3,2,16.7,4,33.3,3,25.0,0,0.0,1,8.3,2,16.7,4,33.3,1,8.3,5,41.7
Gemini Flash,CN,HL,12,2,16.7,3,25.0,0,0.0,2,16.7,5,41.7,0,0.0,0,0.0,5,41.7,5,41.7,0,0.0,3,25.0
Gemini Flash,CN,MF,12,0,0.0,7,58.3,1,8.3,4,33.3,0,0.0,0,0.0,0,0.0,7,58.3,8,66.7,0,0.0,9,75.0
Gemini Flash,CN,YO,12,1,8.3,1,8.3,4,33.3,1,8.3,3,25.0,2,16.7,0,0.0,2,16.7,6,50.0,2,16.7,5,41.7
Gemini Flash,EN,HL,12,0,0.0,4,33.3,1,8.3,2,16.7,5,41.7,0,0.0,0,0.0,4,33.3,5,41.7,0,0.0,5,41.7
Gemini Flash,EN,MF,12,1,8.3,7,58.3,0,0.0,3,25.0,1,8.3,0,0.0,0,0.0,8,66.7,8,66.7,0,0.0,10,83.3
Gemini Flash,EN,YO,12,1,8.3,1,8.3,0,0.0,1,8.3,3,25.0,3,25.0,3,25.0,2,16.7,2,16.7,6,50.0,5,41.7
Gemini Flash,ES,HL,12,0,0.0,5,41.7,0,0.0,2,16.7,3,25.0,2,16.7,0,0.0,5,41.7,5,41.7,2,16.7,7,58.3
Gemini Flash,ES,MF,12,1,8.3,7,58.3,0,0.0,4,33.3,0,0.0,0,0.0,0,0.0,8,66.7,8,66.7,0,0.0,11,91.7
