LLM,Dilemma,Domain,Prompting,Tau,Concordant,Discordant,Tied,N_pairs,FA_values,MME_values
DeepSeek R1,HL,D1,CC,-0.5,1,4,1,6,CN=0.86|EN=0.0|ES=0.0|JP=0.02,CN=0.43|EN=0.52|ES=0.63|JP=0.37
DeepSeek R1,HL,D1,FSCOT,0.0,3,3,0,6,CN=1.0|EN=0.27|ES=0.08|JP=0.05,CN=0.43|EN=0.52|ES=0.63|JP=0.37
DeepSeek R1,HL,D1,PLAIN,0.0,0,0,6,6,CN=0.0|EN=0.0|ES=0.0|JP=0.0,CN=0.43|EN=0.52|ES=0.63|JP=0.37
DeepSeek R1,HL,D1,ZSCOT,-0.6667,1,5,0,6,CN=0.86|EN=0.04|ES=0.01|JP=0.72,CN=0.43|EN=0.52|ES=0.63|JP=0.37
DeepSeek R1,HL,D2,CC,-0.1667,1,2,3,6,CN=1.0|EN=0.0|ES=0.0|JP=0.0,CN=0.43|EN=0.52|ES=0.63|JP=0.37
DeepSeek R1,HL,D2,FSCOT,0.1667,3,2,1,6,CN=0.75|EN=0.0|ES=0.5|JP=0.0,CN=0.43|EN=0.52|ES=0.63|JP=0.37
DeepSeek R1,HL,D2,PLAIN,-0.1667,1,2,3,6,CN=1.0|EN=0.0|ES=0.0|JP=0.0,CN=0.43|EN=0.52|ES=0.63|JP=0.37
DeepSeek R1,HL,D2,ZSCOT,-0.8333,0,5,1,6,CN=0.11|EN=0.0|ES=0.0|JP=0.13,CN=0.43|EN=0.52|ES=0.63|JP=0.37
DeepSeek R1,HL,D3,CC,-0.5,1,4,1,6,CN=0.68|EN=0.0|ES=0.0|JP=0.51,CN=0.43|EN=0.52|ES=0.63|JP=0.37
DeepSeek R1,HL,D3,FSCOT,0.3333,4,2,0,6,CN=0.88|EN=0.0|ES=0.98|JP=0.23,CN=0.43|EN=0.52|ES=0.63|JP=0.37
DeepSeek R1,HL,D3,PLAIN,-0.6667,0,4,2,6,CN=0.03|EN=0.0|ES=0.0|JP=0.03,CN=0.43|EN=0.52|ES=0.63|JP=0.37
DeepSeek R1,HL,D3,ZSCOT,-0.3333,2,4,0,6,CN=0.94|EN=0.04|ES=0.23|JP=0.9,CN=0.43|EN=0.52|ES=0.63|JP=0.37
