Dilemma,Domain,Language,Prompting,LLM,Scenario_ID,MME_Score,Fraction_A,SD,CI_Lower,CI_Upper,P_Value
MF,D1,EN,PLAIN,gpt4o,D1_MF_Plain_EN,0.68,1.0,0.0,1.0,1.0,0.0
MF,D1,CN,PLAIN,gpt4o,D1_MF_Plain_CN,0.21,1.0,0.0,1.0,1.0,0.0
MF,D1,JP,PLAIN,gpt4o,D1_MF_Plain_JP,0.0,1.0,0.0,1.0,1.0,0.0
MF,D1,ES,PLAIN,gpt4o,D1_MF_Plain_ES,0.53,1.0,0.0,1.0,1.0,0.0
MF,D2,EN,PLAIN,gpt4o,D2_MF_Plain_EN,0.68,1.0,0.0,1.0,1.0,0.0
MF,D2,CN,PLAIN,gpt4o,D2_MF_Plain_CN,0.21,1.0,0.0,1.0,1.0,0.0
MF,D2,JP,PLAIN,gpt4o,D2_MF_Plain_JP,0.0,1.0,0.0,1.0,1.0,0.0
MF,D2,ES,PLAIN,gpt4o,D2_MF_Plain_ES,0.53,1.0,0.0,1.0,1.0,0.0
MF,D3,EN,PLAIN,gpt4o,D3_MF_Plain_EN,0.68,1.0,0.0,1.0,1.0,0.0
MF,D3,CN,PLAIN,gpt4o,D3_MF_Plain_CN,0.21,1.0,0.0,1.0,1.0,0.0
MF,D3,JP,PLAIN,gpt4o,D3_MF_Plain_JP,0.0,1.0,0.0,1.0,1.0,0.0
MF,D3,ES,PLAIN,gpt4o,D3_MF_Plain_ES,0.53,1.0,0.0,1.0,1.0,0.0
MF,D1,EN,PLAIN,DeepSeek,D1_MF_Plain_EN,0.68,1.0,0.0,1.0,1.0,0.0
MF,D1,CN,PLAIN,DeepSeek,D1_MF_Plain_CN,0.21,0.98,0.01,0.95,1.0,0.0
MF,D1,JP,PLAIN,DeepSeek,D1_MF_Plain_JP,0.0,0.98,0.01,0.95,1.0,0.0
MF,D1,ES,PLAIN,DeepSeek,D1_MF_Plain_ES,0.53,0.99,0.01,0.97,1.0,0.0
MF,D2,EN,PLAIN,DeepSeek,D2_MF_Plain_EN,0.68,1.0,0.0,1.0,1.0,0.0
MF,D2,CN,PLAIN,DeepSeek,D2_MF_Plain_CN,0.21,1.0,0.0,1.0,1.0,0.0
MF,D2,JP,PLAIN,DeepSeek,D2_MF_Plain_JP,0.0,1.0,0.0,1.0,1.0,0.0
MF,D2,ES,PLAIN,DeepSeek,D2_MF_Plain_ES,0.53,0.99,0.01,0.97,1.0,0.0
MF,D3,EN,PLAIN,DeepSeek,D3_MF_Plain_EN,0.68,1.0,0.0,1.0,1.0,0.0
MF,D3,CN,PLAIN,DeepSeek,D3_MF_Plain_CN,0.21,1.0,0.0,1.0,1.0,0.0
MF,D3,JP,PLAIN,DeepSeek,D3_MF_Plain_JP,0.0,1.0,0.0,1.0,1.0,0.0
MF,D3,ES,PLAIN,DeepSeek,D3_MF_Plain_ES,0.53,1.0,0.0,1.0,1.0,0.0
MF,D1,EN,PLAIN,LeChat Mistral Large,D1_MF_Plain_EN,0.68,0.58,0.05,0.48,0.68,0.03
MF,D1,CN,PLAIN,LeChat Mistral Large,D1_MF_Plain_CN,0.21,0.12,0.03,0.06,0.18,0.03
MF,D1,JP,PLAIN,LeChat Mistral Large,D1_MF_Plain_JP,0.0,0.03,0.02,0.0,0.06,0.0
MF,D1,ES,PLAIN,LeChat Mistral Large,D1_MF_Plain_ES,0.53,0.15,0.04,0.08,0.22,0.0
MF,D2,EN,PLAIN,LeChat Mistral Large,D2_MF_Plain_EN,0.68,0.63,0.05,0.54,0.72,0.28
MF,D2,CN,PLAIN,LeChat Mistral Large,D2_MF_Plain_CN,0.21,1.0,0.0,1.0,1.0,0.0
MF,D2,JP,PLAIN,LeChat Mistral Large,D2_MF_Plain_JP,0.0,0.97,0.02,0.94,1.0,0.0
MF,D2,ES,PLAIN,LeChat Mistral Large,D2_MF_Plain_ES,0.53,1.0,0.0,1.0,1.0,0.0
MF,D3,EN,PLAIN,LeChat Mistral Large,D3_MF_Plain_EN,0.68,1.0,0.0,1.0,1.0,0.0
MF,D3,CN,PLAIN,LeChat Mistral Large,D3_MF_Plain_CN,0.21,1.0,0.0,1.0,1.0,0.0
MF,D3,JP,PLAIN,LeChat Mistral Large,D3_MF_Plain_JP,0.0,1.0,0.0,1.0,1.0,0.0
MF,D3,ES,PLAIN,LeChat Mistral Large,D3_MF_Plain_ES,0.53,1.0,0.0,1.0,1.0,0.0
