LLM_std,Dilemma,Prompting,N,Bin1_Calibrated_count,Bin1_Calibrated_pct,Bin2_Rigid_tracking_count,Bin2_Rigid_tracking_pct,Bin3_Gradient_sensitive_overshoot_count,Bin3_Gradient_sensitive_overshoot_pct,Bin4_Gradient_erased_count,Bin4_Gradient_erased_pct,Bin5_Gradient_inverted_count,Bin5_Gradient_inverted_pct,Bin6_Non_tracking_contradiction_count,Bin6_Non_tracking_contradiction_pct,Bin7_Non_tracking_rigidity_count,Bin7_Non_tracking_rigidity_pct,Tracking_A_bins12_count,Tracking_A_bins12_pct,All_tracking_bins123_count,All_tracking_bins123_pct,NonTracking_B_bins67_count,NonTracking_B_bins67_pct,Deterministic_count,Deterministic_pct
DeepSeek R1,HL,CC,12,0,0.0,0,0.0,1,8.3,0,0.0,4,33.3,0,0.0,7,58.3,0,0.0,1,8.3,7,58.3,8,66.7
DeepSeek R1,HL,FSCOT,12,2,16.7,1,8.3,3,25.0,1,8.3,2,16.7,2,16.7,1,8.3,3,25.0,6,50.0,3,25.0,4,33.3
DeepSeek R1,HL,PLAIN,12,0,0.0,0,0.0,1,8.3,4,33.3,1,8.3,0,0.0,6,50.0,0,0.0,1,8.3,6,50.0,10,83.3
DeepSeek R1,HL,ZSCOT,12,0,0.0,0,0.0,0,0.0,0,0.0,4,33.3,3,25.0,5,41.7,0,0.0,0,0.0,8,66.7,2,16.7
DeepSeek R1,MF,CC,12,0,0.0,3,25.0,1,8.3,8,66.7,0,0.0,0,0.0,0,0.0,3,25.0,4,33.3,0,0.0,11,91.7
DeepSeek R1,MF,FSCOT,12,1,8.3,1,8.3,1,8.3,9,75.0,0,0.0,0,0.0,0,0.0,2,16.7,3,25.0,0,0.0,11,91.7
DeepSeek R1,MF,PLAIN,12,0,0.0,5,41.7,0,0.0,4,33.3,3,25.0,0,0.0,0,0.0,5,41.7,5,41.7,0,0.0,8,66.7
DeepSeek R1,MF,ZSCOT,12,0,0.0,1,8.3,0,0.0,8,66.7,3,25.0,0,0.0,0,0.0,1,8.3,1,8.3,0,0.0,8,66.7
DeepSeek R1,YO,CC,12,2,16.7,0,0.0,1,8.3,4,33.3,3,25.0,1,8.3,1,8.3,2,16.7,3,25.0,2,16.7,7,58.3
DeepSeek R1,YO,FSCOT,12,0,0.0,4,33.3,3,25.0,4,33.3,0,0.0,1,8.3,0,0.0,4,33.3,7,58.3,1,8.3,7,58.3
DeepSeek R1,YO,PLAIN,12,0,0.0,0,0.0,0,0.0,4,33.3,5,41.7,2,16.7,1,8.3,0,0.0,0,0.0,3,25.0,6,50.0
DeepSeek R1,YO,ZSCOT,12,4,33.3,4,33.3,0,0.0,0,0.0,3,25.0,1,8.3,0,0.0,8,66.7,8,66.7,1,8.3,5,41.7
